Run,BioSample,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,collection_date,env_biome,env_feature,env_material,estimated_size,gap_accession,gap_consent_code,gap_consent_short_name,gap_parent_phs,gap_sample_id,gap_subject_id,genotype,geo_loc_name,histological_type,host,is_tumor,isol_growth_condt,isolate,isolation_source,lat_lon,molecular_data_type,num_replicons,ploidy,propagation,sample_title,sample_tittle,sample_type,sex,strain,study_design,study_disease,study_name,subject_is_affected,submitted_sample_id,submitted_subject_id,submitter_handle,tissue,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3178016,SAMN04494473,,,,,1991-06-19,giardiasis,,,,,,,,,,A,New Zealand: Whangarei,,,,,WHANGAREI8/79,human,35.73 S 174.32 E,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:01:00,2016-02-18 17:16:09,1352820,679115640,1352820,502,471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/178/SRR3178016.sralite.1,SRX1592436,WHANGAREI8/79,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300536,simple,5741,Giardia duodenalis,WHANGAREI8/79,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,EAC2EFFB3A22580507D931F7C793B82F,6D251BD581014B2F8A3852F947E9EEAE
ERR311192,SAMEA2057586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:42,1279542,383862600,1279542,300,199,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311192/ERR311192.sralite.1,ERX284473,7144459,WGS,RANDOM,GENOMIC,PAIRED,314,82,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226583,simple,5741,Giardia duodenalis,SAMEA2057586,,,,,,,no,,,,,SC,ERA237528,,public,017975DA70F7801738F87D035F2547A8,B753466DA1D42317D73ADC1BD67F3E1E
ERR311193,SAMEA2057587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:52,1685236,505570800,1685236,300,256,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311193/ERR311193.sralite.1,ERX284474,7144460,WGS,RANDOM,GENOMIC,PAIRED,314,82,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226584,simple,5741,Giardia duodenalis,SAMEA2057587,,,,,,,no,,,,,SC,ERA237528,,public,F476ECFA5159A43AF737D5EDFFFBE6C1,E15A2442C7DCAD75B36FD35760D2BE54
ERR311194,SAMEA2057588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:53,1481456,444436800,1481456,300,225,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311194/ERR311194.sralite.1,ERX284475,7144461,WGS,RANDOM,GENOMIC,PAIRED,314,82,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226585,simple,5741,Giardia duodenalis,SAMEA2057588,,,,,,,no,,,,,SC,ERA237528,,public,ACDC735D021A7C93E6ADA776B8567AA3,CF846E780ADA39320D594E8952EDF89F
ERR311195,SAMEA2057589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:47,1452744,435823200,1452744,300,218,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311195/ERR311195.sralite.1,ERX284476,7144462,WGS,RANDOM,GENOMIC,PAIRED,314,82,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226586,simple,5741,Giardia duodenalis,SAMEA2057589,,,,,,,no,,,,,SC,ERA237528,,public,CD92A72C889B83898F590D45BA7EE1A2,FB9A563A07DD14BA0DFFD91F84EE18E3
ERR311196,SAMEA2057590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:42,1015796,304738800,1015796,300,169,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311196/ERR311196.sralite.1,ERX284477,7144463,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226587,simple,5741,Giardia duodenalis,SAMEA2057590,,,,,,,no,,,,,SC,ERA237528,,public,BF6969E47DED45DE343FF019A4BA7019,E3B43596E2EB9986B28113CA6A291F34
ERR311197,SAMEA2057591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-20 16:07:41,2013-07-15 18:16:44,969113,290733900,969113,300,164,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/311/ERR311197/ERR311197.sralite.1,ERX284478,7144464,WGS,RANDOM,GENOMIC,PAIRED,500,0,ILLUMINA,Illumina MiSeq,ERP001716,PRJEB3213,,258334,ERS226588,simple,5741,Giardia duodenalis,SAMEA2057591,,,,,,,no,,,,,SC,ERA237528,,public,675601A9A0DB6DFB54A3F5AE1D58BAC4,20C4AEED590BE979C2FD823109CE7DBD
SRR29006303,SAMN41379870,,,,,not applicable,,,,,,,,,,,,Afghanistan,,Homo sapiens,,,C4,,,,,,,Microbe sample from Giardia duodenalis,C4,trophozoites,,NA,,,,,,,,,2025-08-19 19:20:33,2024-05-13 09:17:32,12872722,1930908300,12872722,150,1318,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR029/29006/SRR29006303/SRR29006303.lite.1,SRX24533337,1,WGS,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP507278,PRJNA1110996,,1110996,SRS21279348,simple,5741,Giardia duodenalis,C4,,,,,,,no,,,,,WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH,SRA1864782,,public,902BC2E332E89A47DD5A802B02C589A0,6C35465FCF8D116DFB1A130AA3B17BE7
SRR29006302,SAMN41379871,,,,,not applicable,,,,,,,,,,,,Afghanistan,,Homo sapiens,,,C6,,,,,,,Microbe sample from Giardia duodenalis,C6,trophozoites,,NA,,,,,,,,,2025-08-19 19:20:33,2024-05-13 09:17:10,20766488,3114973200,20766488,150,2002,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR029/29006/SRR29006302/SRR29006302.lite.1,SRX24533338,2,WGS,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP507278,PRJNA1110996,,1110996,SRS21279349,simple,5741,Giardia duodenalis,C6,,,,,,,no,,,,,WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH,SRA1864782,,public,7FBA82E6CBFB9200A63EBF92F72BDF2A,35C8A5873F1D7AB87CC3240B6D577252
SRR29006301,SAMN41379880,,,,,1994-08-30,,,,,,,,,,,,Afghanistan,,Homo sapiens,,,GduoAI-12,,,,,,,Microbe sample from Giardia duodenalis,giardia12,trophozoites,,NA,,,,,,,,,2025-08-19 19:20:33,2024-05-13 09:17:10,8900183,1602032940,8900183,180,963,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR029/29006/SRR29006301/SRR29006301.lite.1,SRX24533339,11,WGS,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP507278,PRJNA1110996,,1110996,SRS21279350,simple,5741,Giardia duodenalis,GduoAI-12,,,,,,,no,,,,,WALTER AND ELIZA HALL INSTITUTE OF MEDICAL RESEARCH,SRA1864782,,public,915E0536D01D58A75A9853F50BCA992D,FCABC2E3778D6C85C0450C119353508A
