final_id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolate,sample_type,lat_lon,isolation_source,HOST,strain,env_biome,genotype,Sample_tittle,tissue,collected_by,sex,Sample_name,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Scientific_Name,Submitter_Id,dev_stage,ArrayExpress-SPECIES,AssemblyName,isol_growth_condt,estimated_size,ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,BIOMATERIAL_PROVIDER,culture_collection,tax_id_x,altitude,Cultivar,Ecotype,type,biotic_relationship,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,AGE,BREED,sample_description_x,isolation-source,health_state,host_body_habitat,host_tissue_sampled,Birth_date,birth_location,breeding_history,breeding_method,sample_comment,id,secondary_study_accession,parent_study,submission_accession,read_count,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera,fastq_1,fastq_2,md5_1,md5_2,single_end,location,collection_date_year
SRR21529642,SRR21529642,WGS,462,311769372,PRJNA879307,SAMN30804748,196123128,ROBERT KOCH-INSTITUT,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17531988,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P392-H2,SRP396690,2022-09-12T12:02:00Z,1,P392-H2-shortReads-2,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P392,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529643,SRR21529643,WGS,462,1455086095,PRJNA879307,SAMN30804748,802418221,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17531987,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P392-H2,SRP396690,2022-09-12T12:02:00Z,1,P392-H2-shortReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P392,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529644,SRR21529644,WGS,598,561181122,PRJNA879307,SAMN30804747,347322961,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17531986,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P387-C1,SRP396690,2022-09-12T12:58:00Z,1,P387-C1-shortReads-3,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P387,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529645,SRR21529645,WGS,457,620816259,PRJNA879307,SAMN30804747,392690407,ROBERT KOCH-INSTITUT,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17531985,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P387-C1,SRP396690,2022-09-12T12:30:00Z,1,P387-C1-shortReads-2,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P387,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529646,SRR21529646,WGS,455,1147852852,PRJNA879307,SAMN30804747,632063387,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17531984,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P387-C1,SRP396690,2022-09-12T12:19:00Z,1,P387-C1-shortReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P387,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529647,SRR21529647,WGS,597,358991816,PRJNA879307,SAMN30804746,222309092,ROBERT KOCH-INSTITUT,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17531983,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P344-B2,SRP396690,2022-09-12T12:02:00Z,1,P344-B2-shortReads-3,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P344,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529648,SRR21529648,WGS,474,294018595,PRJNA879307,SAMN30804746,187129115,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531982,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P344-B2,SRP396690,2022-09-12T12:01:00Z,1,P344-B2-shortReads-2,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P344,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529649,SRR21529649,WGS,474,1299963175,PRJNA879307,SAMN30804746,726728121,ROBERT KOCH-INSTITUT,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17531981,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P344-B2,SRP396690,2022-09-12T12:14:00Z,1,P344-B2-shortReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P344,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529650,SRR21529650,WGS,6307,648696164,PRJNA879307,SAMN30804747,459039015,ROBERT KOCH-INSTITUT,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17531980,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P387-C1,SRP396690,2022-09-12T12:18:00Z,1,P387-C1-longReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P387,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529651,SRR21529651,WGS,8268,1120669167,PRJNA879307,SAMN30804746,789641838,ROBERT KOCH-INSTITUT,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17531979,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P344-B2,SRP396690,2022-09-12T12:16:00Z,1,P344-B2-longReads-1,Model organism or animal,2013,Germany,Europe,Germany: Berlin,P344,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
