run,biosample,collection_date,env_biome,genotype,isolate,isolation_source,sample_tittle,sample_type,releasedate,loaddate,spots,bases,spots_with_mates,avglength,size_mb,assemblyname,download_path,experiment,libraryname,librarystrategy,libraryselection,librarysource,librarylayout,platform,model,srastudy,bioproject,sample,taxid,scientificname,samplename,tumor,centername,consent,outbreak_number_sporadic,country_geoloc,region_geoloc,city_geoloc
SRR3177755,SAMN04494421,1987-11-04,watershed,B,VANC/87/UBC/26,beaver,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 16:00:00,3046165,1529174830,3046165,502,849,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177755/SRR3177755.sralite.1,SRX1592263,VANC/87/UBC/26,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300369,5741,Giardia duodenalis,VANC/87/UBC/26,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Slocan River
SRR3177757,SAMN04494422,1987-11-21,watershed,A,VANC/87/UBC/27,beaver,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 15:56:31,1694761,850770022,1694761,502,572,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177757.sralite.1,SRX1592271,VANC/87/UBC/27,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300376,5741,Giardia duodenalis,VANC/87/UBC/27,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Aldergrove
SRR3177759,SAMN04494423,1987-12-01,watershed,A,VANC/87/UBC/28,beaver,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 15:57:47,2198831,1103813162,2198831,502,634,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177759.sralite.1,SRX1592280,VANC/87/UBC/28,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300383,5741,Giardia duodenalis,VANC/87/UBC/28,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Aldergrove
SRR3177760,SAMN04494424,1987-12-01,watershed,A,VANC/87/UBC/29,beaver,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 15:57:24,1438214,721983428,1438214,502,490,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177760.sralite.1,SRX1592286,VANC/87/UBC/29,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300389,5741,Giardia duodenalis,VANC/87/UBC/29,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Aldergrove
SRR3177763,SAMN04494425,1987-08-08,giardiasis,B,VANC/87/UBC/8,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:01:17,2276049,1083399324,2276049,476,571,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177763/SRR3177763.sralite.1,SRX1592295,VANC/87/UBC/8,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300396,5741,Giardia duodenalis,VANC/87/UBC/8,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,North Vancouver
SRR3177765,SAMN04494426,1988-10-19,giardiasis,A,VANC/88/UBC/34,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:01:50,2687411,1349080322,2687411,502,864,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177765.sralite.1,SRX1592307,VANC/88/UBC/34,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300410,5741,Giardia duodenalis,VANC/88/UBC/34,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Vancouver
SRR3177768,SAMN04494427,1988-11-29,giardiasis,A,VANC/88/UBC/35,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:09:43,2074818,1041558636,2074818,502,591,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177768.sralite.1,SRX1592314,VANC/88/UBC/35,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300417,5741,Giardia duodenalis,VANC/88/UBC/35,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Vancouver
SRR3177790,SAMN04494428,1989-10-25,giardiasis,A,VANC/89/UBC/33,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:08:12,3038335,1525244170,3038335,502,832,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177790/SRR3177790.sralite.1,SRX1592323,VANC/89/UBC/33,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300422,5741,Giardia duodenalis,VANC/89/UBC/33,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Vancouver
SRR3177803,SAMN04494429,1989-09-30,giardiasis,A,VANC/89/UBC/36,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:11:35,3597600,1805995200,3597600,502,1009,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177803.sralite.1,SRX1592325,VANC/89/UBC/36,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300424,5741,Giardia duodenalis,VANC/89/UBC/36,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,BC,Oliver
SRR3177805,SAMN04494430,1989-11-17,watershed,A,VANC/89/UBC/37,human,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:08:51,1346491,675938482,1346491,502,442,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177805/SRR3177805.sralite.1,SRX1592328,VANC/89/UBC/37,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300427,5741,Giardia duodenalis,VANC/89/UBC/37,no,UNIVERSITY OF BRITISH COLUMBIA,public,3,CANADA,BC,Kitimat
